SongID,ArtistLatitude,ArtistLongitude,ArtistName,Title,Year,StarRatings
SONETEJ12A8C13A71E,40.75851,-82.5148,Ohio Express,Sausalito (Is The Place To Go),1994,2
SOLDRBC12A8C139538,37.27188,-119.27023,Throwing Muses,Shark,1996,3
SOOJJXB12A6D4F9F0E,41.88415,-87.63241,The Audition,Lawyers (Album Version),2005,4
SOEFSZD12A58A7DBDE,57.70133,11.96689,Sally Shapiro,Jackie Junior (Junior Boys Remix),2008,4
SOXSZCA12AF729AAD0,52.66097,-8.63261,The Cranberries,Wanted,1993,4
SOVFPCG12A8C1397C4,34.05349,-118.24532,Britney Spears,Born To Make You Happy,1999,4
SOWTQTD12A8AE46807,52.63788,-1.14036,DJ SS,Black,1995,2
SOAXCUV12A8C141B46,51.50632,-0.12714,Swervedriver,Duel,1992,4
SOMQCLD12A58A7D0DD,44.11559,-120.51484,Richmond Fontaine,The Kid From Belmont Street,2007,4
SORWWGU12A8C140E78,51.50632,-0.12714,The Veils,Calliope!,2006,4
SORTQEK12A8C132551,39.04928,-95.67118,Kansas,Loner,1980,3
SOSUMIU12AB017C295,32.61436,-86.68073,Static-X,Wisconsin Death Trip (Album Version),1999,2
SOOEPNY12A6702186F,55.95415,-3.20277,Idlewild,Pleasure And Pain,2005,3
SOWWNMZ12AC468BEA8,40.01574,-105.27924,The String Cheese Incident,Got What He Wanted,1998,3
SOPMDHW12A8C133909,51.89834,-8.47277,Rubyhorse,A Place In The Sun,2004,3
SODTVFT12A8C13EAF4,41.88415,-87.63241,El Dorados,At My Front Door,1955,4
SOAQEEE12A8C144847,37.77916,-122.42005,The Lord Weird Slough Feg,Curse of Humaniti,2003,3
SOGXOUC12A58A78D63,36.05084,-95.7895,Kristin Chenoweth,Daddy,2001,3
SOSDGFA12A8AE47801,38.8991,-77.029,Exit Clov,Working Class Hero (John Lennon),2006,2
SOMLVTX12A8AE49891,34.05349,-118.24532,Britney Spears,Get Naked (I Got A Plan),2007,4
SOCDKAJ12A8AE48EB6,53.41961,-8.24055,Clannad,Almost Seems (Too Late To Turn),1985,4
SOJTKGD12A58A76C57,36.16778,-86.77836,Mat Kearney,Lifeline,2009,4
SOVOYOL12A6D4FB7F9,40.71455,-74.00712,Sean Lennon,Home,1998,3
SOGJNGD12A8C1384E2,51.43558,-2.57518,Tricky,A Song for Yukiko (Album version),2001,4
SOITEZA12A6D4FDCA3,51.16418,10.45415,Die Apokalyptischen Reiter,Himmelskind,2006,3
SOFSKYN12A6701E3D8,62.19845,17.55142,The Soundtrack of Our Lives,Blow My Cool,1996,3
SOZZTNZ12AB017DDFF,38.8991,-77.029,Stacy Lattisaw,Every Drop Of Your Love,1988,2
SOSKVGG12A8C133C6A,55.8578,-4.24251,Shitdisco,I Know Kung Fu (James Ford Edit),2006,2
SOOHEQA12A8C144A02,52.45419,-2.14783,Ned's Atomic Dustbin,You Don't Want To Do That,1992,4
SOIAORE12AC9097BD5,-10.40633,-77.23871,Silkk The Shocker,What Gangstas Do,1998,2
SOFADZW12AB0184732,42.33168,-83.04792,The Contours,You Get Ugly,1963,2
SOMBONU12A8C13EEF2,40.71455,-74.00712,King Missile,The Evil Children (LP Version),1992,3
SOMEQWR12AB0182B2B,49.38426,-84.75627,Ron Sexsmith,Ship Of Fools,2006,3
SOFJMDH12A8C133BED,40.8079,-73.9454,Cam'Ron,What I Gotta Live For,2000,4
SOSTBCJ12A8C13DB1C,25.72898,-80.23742,Eths,La Chair Et Le Sang,2000,4
SODGUZI12A58A7CFB6,34.19451,-90.5651,Earl Hooker,Earl Hooker Blues,1968,3
SOIMMLQ12A8C13EA7B,50.97768,11.02307,Yvonne Catterfeld,Ich lauf einfach los,2006,3
SOJRRGQ12A6D4F7917,50.82821,-0.13449,The Kooks,You Don't Love Me (Acoustic Version),2006,3
SOGQPLV12A8C13CB97,39.31936,-88.45207,Amber Pacific,You're Only Young Once,2007,3
SOJWHDK12A6701E3D1,62.19845,17.55142,The Soundtrack of Our Lives,Chromosome Layer,1996,3
SOXFLJJ12AB01809D7,34.74865,-92.27449,American Princes,Still Not Sick Of You,2008,2
SONUTOJ12A6BD4D405,32.29088,-88.49926,David Ruffin,I've Lost Everything I've Ever Loved,1969,2
SOWBLSJ12A8C13AC01,51.50632,-0.12714,The Clientele,(I Want You) More Than Ever,2000,4
SORUGWA12A58A7F924,38.25486,-85.7664,Sara Martin,Death Sting Me Blues,1993,2
SOGKOIN12A8C1371FD,40.71455,-74.00712,Ashford & Simpson,Bourgie Bourgie (Joe Claussell's Classic Remix),2008,2
SOYAQYS12A8C135D31,37.16793,-95.84502,Tierney Sutton,Something Cool,2002,4
SOFNGIE12A6D4F97AF,42.28474,-83.38348,Insane Clown Posse,F*ck The World,2008,3
SOCLSLO12A8C137815,37.27188,-119.27023,Incubus,Blood On The Ground,2001,4
SOUYYQV12A6D4F6D33,39.80493,-75.22939,Danielson,Five Stars and Two Thumbs Up,2006,3
SOHLYMD12AF72A3252,35.36696,-119.01886,Adema,Pain Inside,2001,4
SOVSHRT12AC468724D,35.26869,-77.5818,Maceo Parker,Shake Everything You Got,2007,3
SOMDRYJ12A6D4F7DCD,32.71568,-117.16172,Cascades,The Last Leaf (LP Version),1963,2
SOTJPQI12A6D4F94E8,34.09834,-118.32674,Barren Cross,A Face In The Dark (Album Version),1989,2
SOGTJGA12A8C1379D5,40.8079,-73.9454,Alicia Keys,The Life,2001,4
SOQBYJI12A8C137768,51.5291,-0.02419,Wiley ft. Frisco & Cookie,Anything Is Possible,2008,2
SOTTNLP12AB0186567,35.06626,-78.88956,Fatback,Keep Your Fingers Out The Jam,1994,2
SOGMUME12A8C143E83,62.19845,17.55142,Sahara Hotnights,If Anyone Matters It'S You,2007,4
SOIFVWZ12A6D4FB60B,51.50632,-0.12714,Max Tundra,Acorns,2002,3
SOEAAUU12AB01889B8,35.40853,-80.1155,Lou Donaldson,Tennessee Waltz,1970,2
SOATKWW12A6D223C0D,-24.9162,133.39311,Flash And The Pan,Where Were You,1982,3
SOELUED12A58A7AF74,45.51228,-73.55439,Oscar Peterson,East of the Sun (And West of the Moon),1995,2
SOJZUGN12A8C135F31,38.82773,-89.54034,Gretchen Wilson,Pocahontas Proud,2004,4
SOZXTKD12A8C13FC43,40.82624,-74.47995,The Dillinger Escape Plan,Sugar Coated Sour,1999,4
SOUEZWO12A8C145B94,45.51179,-122.67563,Blitzen Trapper,Stolen Shoes & a Rifle,2008,4
SOYGYRW12A58A7C13C,50.87566,0.00093,Ed Harcourt,Bittersweetheart,2003,4
SOEWSAQ12A58A7C2B0,37.16793,-95.84502,Kingspade,Check Yo Bitch,2007,3
SOBEGXU12A6D4FAD63,34.05349,-118.24532,Willie Hutch,Out There,1974,3
SOLFNUO12A8C139BAC,32.35248,-89.65535,B Angie B,So Much Love,1991,2
SOFKTYP12A6701C534,41.50471,-81.69074,Nine Inch Nails,The Line Begins To Blur,2005,4
SOWAJYA12A67020673,18.22328,-66.42889,Daddy Yankee,El Muro,2004,3
SOAJWDE12AB0183F2A,32.71568,-117.16172,Switchfoot,Bullet Soul (Album Version),2009,4
SOZJPEC12AB017E137,60.17116,24.93258,Antti Tuisku,Lämpö,2006,2
SOVBCBK12A58A7D330,40.81362,-96.70774,For Against,Coalesced,2003,2
SORWCAQ12A8C13C880,32.61436,-86.68073,Static-X,Light It Up [Bonus Track],2007,2
SORYCVG12AF72A2BF9,51.50632,-0.12714,Girlschool,Breaking The Rules,1995,3
SOLFEIQ12A8C1308E2,37.97457,-122.53247,George Duke,The Way I Feel,1978,2
SOQAKDE12A8C142050,35.17407,-89.97544,Willie Mabon,Got To Have It,1993,3
SOYXCHB12A8C143084,39.74001,-104.99226,Fiction 8,Chaotica,2000,2
SOQDLFB12A6701F110,40.43831,-79.99745,Modey Lemon,The Guest,2003,2
SOAQYLN12A8C13C26B,40.71455,-74.00712,Hem,The Golden Day Is Dying,2006,2
SOCFAQT12A8C142A3A,33.20271,-94.68121,Z.Z. Hill,Suppertime (Home Just Ain't Home At),1971,2
SOEWNHZ12A8C13388F,-34.60852,-58.37354,Richard Shindell,The Kenworth Of My Dreams,1992,3
SOTOIQX12A679C8055,53.34376,-6.24953,Ronan Keating,Joy And Pain,2002,3
SOCXRIE12A6310E111,49.26044,-123.11403,Nickelback,Leader Of Men,1999,2
SOORWNQ12A8C13D03E,53.4796,-2.24881,808 State,Boneyween,1990,3
SOOYBFV12AB018A4F6,52.51607,13.37698,To Rococo Rot,Forwardness,2010,3
SOATBBA12A6D4F5998,45.51179,-122.67563,Pink Martini / Jimmy Scott,Tea For Two,2007,4
SOXBLJL12A8C1305E6,40.79086,-73.96644,Sophie B. Hawkins,Swing From Limb To Limb (My Home Is In Your Jungle),1994,3
